5101118,"רוטשילד ארה\"ב חייבת"
5129101,"פורצ`ן (!) אג\"ח בינלאומי "
5126040,"קסם אזימוט (!) 10-90"
5125257,"מור מניות ערך "
5105770,"פסגות MID CAP  עולמי"
5125950,"הראל 20/80"
5103577,"פסגות מניות גלובלי"
5110531,"הראל מניות חו\"ל - נקובה $ "
5118781,"קסם Morningstar Wide Moat Focus KTF מנוטרלת מט\"ח"
5123435,"פסגות מניות עולמי - עד 30% מט\"ח"
5124573,"תכלית MSCI WORLD TTF"
5106653,"פסגות תיק מניות עולמי - נקובה $"
5102207,"מיטב LONG RUN"
5131271,"מגדל מניות ישראל Buy Side"
5129739,"הראל Htfי Russell 2000 מנוטרלת מט\"ח"
5105903,"אלטשולר שחם יתר"
5128079,"קסם Russell 2000 KTF מנוטרלת מט\"ח"
5131214,"מגדל  דיבידנד ישראל חייבת"
5103106,"פסגות אג\"ח חו\"ל - מנוטרלת מט\"ח"
5122361,"מגדל עוקבת תיק 4 בנק דיסקונט"
5106992,"High Yield מיטב ללא מניות ! "
5128244,"הראל Htf  משולבת מניות סקטורים ארה\"ב חודשי "
5110184,"פסגות ארה\"ב ממוקדת"
5115654,"קסם אקסלנס שכבות מדדי מניות חו\"ל"
5130299,"אי.בי.אי. מחקה BlueStar Total Security"
5123716,"פסגות מניות והזדמנויות אג\"ח"
5128376,"מור 30/70"
5120993,"קסם אקסלנס אג\"ח חו\"ל מנוטרלת מט\"ח"
5122569,"MTF מחקה MSCI World "
5110838,"פסגות מניות חו\"ל"
5122668,"אפסילון IM ארה\"ב מנוטרלת מט\"ח "
5121603,"טרגט אניגמה מניות חו\"ל"
5117759,"איילון אקסטרים 500 S&P פי 3"
5107784,"אלטשולר שחם (!) אג\"ח חו\"ל עד 10% מט\"ח"
5126065,"מיטב 40/60"
5119862,"דיאמונד אג\"ח ללא מניות"
5128541,"פורטה אג\"ח ללא מניות "
5105762,"פסגות מניות BuySide ישראל"
5103387,"קסם אקסלנס (!) קונצרני חו\"ל מנוטרלת מט\"ח חייבת"
5124995,"פורטה השקעות"
5111133,"הראל ‏מניות Buy Side ישראל"
5125224,"PTF אינדקס מניות Mid Cap"
5119318,"MSCI אי.בי.אי. סל שווקים מתעוררים"
5113956,"מיטב אג\"ח להמרה ואג\"ח חברות"
5124862,"מגדל תיק מנוהל 50/50"
5124979,"ברומטר מניות "
5112503,"פסגות 10/90 ערך"
5125018,"פורטה מניות "
5129259,"S&P Health Care PTF"
5121314,"אלטשולר שחם 10/90 תיק אג\"ח שווקים מפותחים עד 10% מט\"ח"
5122445,"פסגות ארה\"ב Index Plus - מנוטרלת מט\"ח"
5121322,"תכלית TTF משולבת סל מניות חו\"ל חודשי"
5126347,"מיטב תיק השקעות + 15%"
5129655,"אנליסט עוקבת תיק 3 הבנק הבינלאומי"
5129317,"איילון עוקבת תיק 4 הבנק הבינלאומי"
5124284,"אי.בי.אי. מחקה Russell 2000"
5129200,"ברומטר (!) אג\"ח חברות ללא מניות"
5124342,"מור (!) אג\"ח הזדמנויות"
5118898,"פסגות מניות ישראליות"
5130463,"מיטב תיק השקעות עד 4 שנים"
5105929,"US אנליסט מניות גלובלי"
5128848,"פסגות ב. אלטרנטיב (!) אג\"ח"
5128632,"מיטב (0B אג\"ח תשואה כוללת"
5125182,"קסם S&P Industrial KTF מנוטרלת מט\"ח"
5123302,"ברומטר מניות גלובאלי"
5122304,"מגדל תיק 20/80"
5128426,"תמיר פישמן גמישה"
5127956,"סלע קנאביס "
5123328,"דולפין 10/90"
5121207,"MTF מחקה iBoxx US Liquid Investment Grade Top 30  מנוטרלת מט\"ח"
5125588,"מגדל (!) אג\"ח חו\"ל מנוטרלת מט\"ח"
5114079,"מיטב 30/70"
5124789,"מגדל אג\"ח דינמית"
5119508,"ילין לפידות מניות צמיחה"
5122601,"מיטב 20/80"
5108030,"מגדל אפיקים אג\"ח !"
5130364,"מור ברקת "
5125570,"פורטה (!) אג\"ח"
5128640,"מיטב (!) אג\"ח מדורגות – רכיב בטוחה "
5102488,"הראל מגמת ריבית פלוס"
5125000,"פורטה 20/80"
5122379,"מגדל תיק אקטיבי 10/90"
5129762,"הראל Htfי S&P Consumer Staples מנוטרלת מט\"ח"
5120423,"מגדל תיק 10/90"
5114087,"ילין לפידות גמישה"
5128996,"קסם אקסלנס עוקבת תיק 4 בנק דיסקונט"
5103494,"אי.בי.אי. תיק מניות ישראל"
5126776,"אפסילון 20/80"
5127493,"אי.בי.אי. D.A. MODEL "
5126099,"אילים מניות  חו\"ל"
5105267,"ברומטר אג\"ח 15/85"
5122080,"אלטשולר שחם ת\"א 125"
5122908,"אי.בי.אי. מחקה  S&P Health Care"
5125562,"פורטה תיק השקעות עד 10%"
5118997,"MTF מחקה ת\"א SME60 "
5126511,"מגדל (!) אג\"ח הזדמנויות "
5103296,"מיטב מניות MID CAP "
5123666,"אושן יצירה 20/80"
5114798,"מיטב (!) אקטיבית 10/90"
5129770,"הראל Htfי iBoxx $ Corps Liquid 3-7 Years מנוטרלת מט\"ח"
5121439,"קסם קבין 20/80"
5129812,"הראל Htfי DJ Equal Weight US Issued Corp Bond"
5100821,"אי.בי.אי. מניות חו\"ל "
5111984,"פסגות (!) אג\"ח בתשואה גבוהה הגנתי"
5108055,"מגדל אפיקים אג\"ח אקטיבית !"
5123971,"ילין לפידות (!) אג\"ח חברות חו\"ל עד 30% מט\"ח"
5125166,"קסם DJ Industrial Average  KTF מנוטרלת מט\"ח"
5123724,"פסגות אג\"ח + 25%"
5106679,"רוטשילד שווקים מתעוררים"
5126123,"מיטב פוקוס 20/80"
5114640,"מיטב (!) קונצרני פלוס"
5124466,"פסגות (!) ישראל 10/90"
5102298,"אלטשולר שחם ת\"א MID CAP STOCK PICKING"
5101191,"מגדל 25/75 פלוס"
5117650,"איילון 25/75"
5118245,"מגדל 20/80 M.Q.Model"
5121777,"אנליסט (!) אג\"ח חו\"ל ללא מניות מנוטרלת מט\"ח"
5125398,"פסגות 20/80 פלוס"
5130315,"איילון בינה אג\"ח ללא מניות"
5100284,"קסם אקסלנס 10/90 תיק סולידי"
5128434,"אי.בי.אי. (!) קונצרני ממוקד"
5127030,"מיטב סולידית פלוס "
5124474,"פסגות תיק השקעות מנוהל"
5128855,"איילון מניות גלובאלי"
5103692,"מיטב סקיי מניות"
5128863,"מור עוקבת תיק 4 בנק דיסקונט"
5122593,"קסם אזימוט 18/82 חי דיבידנד"
5130257,"ברק 20/80 "
5123823,"סלע 10/90"
5104773,"קסם אקסלנס (!) תיק קונצרני עד 4 שנים"
5112917,"מיטב עוקבת תיק 3 הבנק הבינלאומי "
5100235,"אלטשולר שחם דולרית אג\"ח חו\"ל"
5118674," 20\\80 FOREST "
